Designator,Mid X,Mid Y,Rotation,Layer
_4,2.9718,2.9718,0.0,top
_3,113.1824,2.9972,0.0,top
_2,2.9718,55.2704,0.0,top
,113.1824,55.2704,0.0,top
C1,60.596,49.42,270.0,top
C10,36.452,47.106488,90.0,top
C11,51.057,51.384488,270.0,top
C12,42.4972,52.6034,90.0,top
C2,55.5668,50.912288,90.0,top
C3,70.1802,47.107688,90.0,top
C4,22.8884,47.269688,90.0,top
C5,21.3898,47.269688,90.0,top
C6,21.209,52.9684,0.0,top
C7,24.387,47.269688,90.0,top
C8,28.8828,47.269688,90.0,top
C9,30.3814,47.269688,90.0,top
D1,63.119,48.9458,90.0,top
D10,102.0572,46.5836,180.0,top
D11,13.9954,46.5836,0.0,top
D12,7.9134,35.7124,270.0,top
D13,20.969,35.7124,270.0,top
D14,33.9992,35.7124,270.0,top
D15,47.0548,35.7124,270.0,top
D16,60.1358,35.7124,270.0,top
D17,73.1914,35.7124,270.0,top
D18,86.247,35.7124,270.0,top
D19,99.2772,35.7124,270.0,top
D2,11.3424,36.322,270.0,top
D3,24.398,36.323291,270.0,top
D4,37.4282,36.322,270.0,top
D5,50.4838,36.322,270.0,top
D6,63.5648,36.322,270.0,top
D7,76.6204,36.322,270.0,top
D8,89.676,36.322,270.0,top
D9,102.7062,36.322,270.0,top
J1,93.5414,49.631888,180.0,top
J2,4.998085,48.8442,270.0,top
J3,7.8994,46.1772,180.0,top
J4,111.156115,48.8442,90.0,top
J5,108.2548,46.1772,180.0,top
JP1,8.9356,8.6475,0.0,top
JP2,21.9954,8.6475,0.0,top
JP3,35.051,8.6475,0.0,top
JP4,48.1066,8.6475,0.0,top
JP5,61.1622,8.6475,0.0,top
JP6,74.2178,8.6475,0.0,top
JP7,87.2734,8.6475,0.0,top
JP8,100.329,8.6475,0.0,top
K1,8.5848,31.9636,270.0,top
K2,21.6404,31.9636,270.0,top
K3,34.681,31.9636,270.0,top
K4,47.7366,31.9636,270.0,top
K5,60.8072,31.9636,270.0,top
K6,73.8628,31.9636,270.0,top
K7,86.9184,31.9636,270.0,top
K8,99.959,31.9636,270.0,top
L1,26.927,52.705288,0.0,top
Q1,81.2516,48.0822,270.0,top
Q2,14.238,35.8902,270.0,top
Q3,27.2936,35.891491,270.0,top
Q4,40.3238,35.8902,270.0,top
Q5,53.3794,35.8902,270.0,top
Q6,66.4604,35.8902,270.0,top
Q7,79.516,35.8902,270.0,top
Q8,92.5716,35.8902,270.0,top
Q9,105.6018,35.8902,270.0,top
R1,57.8274,51.6636,0.0,top
R10,46.2564,54.000688,180.0,top
R11,49.279,54.000688,0.0,top
R12,59.845,46.616788,0.0,top
R13,56.8478,46.616788,180.0,top
R14,8.6754,37.9476,0.0,top
R15,21.731,37.948691,0.0,top
R16,34.7612,37.9476,0.0,top
R17,47.8168,37.9476,0.0,top
R18,60.8978,37.9476,0.0,top
R19,73.9534,37.9476,0.0,top
R2,53.3062,50.647888,0.0,top
R20,87.009,37.9476,0.0,top
R21,100.0392,37.9476,0.0,top
R22,18.2004,35.7124,90.0,top
R23,17.4638,37.9476,180.0,top
R24,31.256,35.7124,270.0,top
R25,30.5194,37.948891,180.0,top
R26,44.2862,35.7124,270.0,top
R27,43.5496,37.9476,180.0,top
R28,57.3418,35.7124,270.0,top
R29,56.6052,37.9476,180.0,top
R3,43.2478,49.149288,180.0,top
R30,70.4228,35.7124,270.0,top
R31,69.6862,37.9476,180.0,top
R32,83.4784,35.7124,270.0,top
R33,82.7418,37.9476,180.0,top
R34,96.534,35.7124,270.0,top
R35,95.899,37.9476,180.0,top
R36,109.5642,35.687,270.0,top
R37,108.8276,37.9476,180.0,top
R38,16.7018,35.7124,270.0,top
R39,29.7574,35.7124,270.0,top
R4,43.2478,47.650688,180.0,top
R40,42.7876,35.7124,270.0,top
R41,55.8432,35.7124,270.0,top
R42,68.9242,35.7124,270.0,top
R43,81.9798,35.7124,270.0,top
R44,95.0354,35.7124,270.0,top
R45,108.0656,35.687,270.0,top
R46,9.412,35.7124,90.0,top
R47,22.4676,35.7124,90.0,top
R48,35.4978,35.7124,90.0,top
R49,48.5534,35.7124,90.0,top
R5,43.2478,46.152088,180.0,top
R50,61.6344,35.7124,90.0,top
R51,74.69,35.7124,90.0,top
R52,87.7456,35.7124,90.0,top
R53,100.7758,35.7124,90.0,top
R54,43.9958,52.6034,90.0,top
R55,102.057488,45.082,180.0,top
R56,13.9954,45.085,0.0,top
R6,63.119,53.211512,0.0,top
R7,19.8374,47.269688,270.0,top
R8,25.8856,47.269688,270.0,top
R9,27.3842,47.269688,270.0,top
Sign-RecyclBin,115.4049,45.9212,0.0,bottom
Sign_Pb-Free,96.8248,49.15916,180.0,bottom
Sign_RoHS,107.2261,39.0271,0.0,bottom
U1,58.0814,49.1406,180.0,top
U10,78.5254,41.5036,0.0,top
U11,91.581,41.5036,0.0,top
U12,104.6112,41.5036,0.0,top
U2,47.5264,51.562288,180.0,top
U3,20.7391,50.6532,0.0,top
U4,50.1566,47.117288,0.0,top
U5,13.2474,41.5036,0.0,top
U6,26.303,41.5036,0.0,top
U7,39.3332,41.5036,0.0,top
U8,52.3888,41.5036,0.0,top
U9,65.4698,41.5036,0.0,top
